SMILES,Name,pIC50,IC50,mol,mw,logp,hbd,hba,max_ring_size,ro5_ok
COc1ncc(cn1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)OCC(F)(F)F,CHEMBL2069421,5.1,7.943282347242822,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6810>,460.135839748,3.221800000000001,1,8,6,True
COc1ncc(cn1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)OCCC(F)(F)F,CHEMBL2069422,4.9,12.589254117941662,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6880>,474.151489812,3.611900000000002,1,8,6,True
COc1ncc(cn1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)COCC(F)(F)F,CHEMBL2069423,4.8,15.848931924611142,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f68f0>,474.151489812,3.3596000000000013,1,8,6,True
Cc1ncc(cn1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)OCC(F)(F)F,CHEMBL2069424,5.0,10.000000000000002,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6960>,444.140925128,3.5216200000000013,1,7,6,True
COc1cnc(cn1)c2cccc3c2CC(CO3)NC(=O)c4ccc(nc4)COCC(F)(F)F,CHEMBL2069427,4.9,12.589254117941662,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f69d0>,474.151489812,3.3596000000000013,1,8,6,True
CCCCC1(c2c(c3ccccc3[nH]2)CC(N1)c4[nH]cc(n4)c5ccccc5)CCCC,CHEMBL2069499,6.82,0.15135612484362074,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6a40>,426.27834708800003,7.020700000000005,3,4,6,False
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCCCC6,CHEMBL2069500,7.11,0.07762471166286912,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6ab0>,396.23139689600004,6.066400000000004,3,4,6,False
CCOCC1(c2c(c3ccccc3[nH]2)CC(N1)c4[nH]cc(n4)c5ccccc5)COCC,CHEMBL2069501,6.75,0.17782794100389226,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6b20>,430.2368762,4.713300000000003,3,6,6,True
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCOCC6,CHEMBL2069502,6.42,0.38018939632056126,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6b90>,398.210661452,4.912700000000003,3,5,6,True
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCOCC6,CHEMBL2069503,6.14,0.7244359600749907,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6c00>,398.210661452,4.912700000000003,3,5,6,True
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCOC6,CHEMBL2069504,7.395,0.04027170343254595,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6c70>,384.195011388,4.522600000000002,3,5,6,True
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCSCC6,CHEMBL2069505,6.92,0.12022644346174133,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6ce0>,414.187817832,5.629300000000004,3,4,6,False
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CC[S+](CC6)[O-],CHEMBL2069506,7.0,0.1,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6d50>,430.182732452,4.644800000000003,3,5,6,True
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCS(=O)(=O)CC6,CHEMBL2069507,7.0,0.1,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6dc0>,446.17764707199996,4.310900000000002,3,6,6,True
c1ccc(cc1)c2c[nH]c(n2)C3Cc4c5ccccc5[nH]c4C(N3)C6CCNCC6,CHEMBL2069509,5.29,5.1286138399136485,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6e30>,397.2266458640001,4.485700000000002,4,5,6,True
CC(=O)N1CCC(CC1)C2c3c(c4ccccc4[nH]3)CC(N2)c5[nH]cc(n5)c6ccccc6,CHEMBL2069510,5.01,9.772372209558112,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6ea0>,439.23721054800006,4.744600000000004,3,6,6,True
CS(=O)(=O)N1CCC(CC1)C2c3c(c4ccccc4[nH]3)CC(N2)c5[nH]cc(n5)c6ccccc6,CHEMBL2069511,5.46,3.467368504525317,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6f10>,475.2041961680001,4.157700000000002,3,7,6,True
COC(=O)N1CCC(CC1)C2c3c(c4ccccc4[nH]3)CC(N2)c5[nH]cc(n5)c6ccccc6,CHEMBL2069512,6.16,0.6918309709189363,<rdkit.Chem.rdchem.Mol object at 0x733d8f6f6f80>,455.2321251680001,4.964500000000004,3,7,6,True
